127.0.0.1 - - [12/Oct/2024:14:26:41 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [12/Oct/2024:16:40:44 +0700] "GET /DiamonShop/ HTTP/1.1" 200 34635
0:0:0:0:0:0:0:1 - - [12/Oct/2024:16:40:44 +0700] "GET /DiamonShop/b.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [12/Oct/2024:16:40:44 +0700] "GET /DiamonShop/h.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [12/Oct/2024:16:40:44 +0700] "GET /DiamonShop/g.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [12/Oct/2024:16:40:44 +0700] "GET /DiamonShop/i.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [12/Oct/2024:16:40:44 +0700] "GET /DiamonShop/a.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [12/Oct/2024:16:40:44 +0700] "GET /DiamonShop/e.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [12/Oct/2024:16:40:44 +0700] "GET /DiamonShop/d.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [12/Oct/2024:16:40:44 +0700] "GET /DiamonShop/c.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [12/Oct/2024:16:48:42 +0700] "GET /DiamonShop/ HTTP/1.1" 200 34635
0:0:0:0:0:0:0:1 - - [12/Oct/2024:16:48:42 +0700] "GET /DiamonShop/i.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [12/Oct/2024:16:48:42 +0700] "GET /DiamonShop/b.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [12/Oct/2024:16:48:43 +0700] "GET /DiamonShop/a.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [12/Oct/2024:16:48:43 +0700] "GET /DiamonShop/e.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [12/Oct/2024:16:48:43 +0700] "GET /DiamonShop/c.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [12/Oct/2024:16:48:43 +0700] "GET /DiamonShop/d.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [12/Oct/2024:16:48:43 +0700] "GET /DiamonShop/g.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [12/Oct/2024:16:48:43 +0700] "GET /DiamonShop/h.jpg HTTP/1.1" 404 967
