0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/img/bootstrap-templates.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/img/bootstrap-ring.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/img/i.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/img/g.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/img/s.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/img/f.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/img/h.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/img/j.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/img/b.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/img/a.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/img/c.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/img/e.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/img/d.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/img/4.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/img/2.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/img/3.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/img/1.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/img/5.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/img/6.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/img/maestro.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/img/mc.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/img/pp.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/img/disc.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/img/visa.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/user/ico/favicon.ico HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:29 +0700] "GET /favicon.ico HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:32 +0700] "GET /DiamonShop/home/assets/user/font-awesome/css/font-awesome.css HTTP/1.1" 404 967
